Domain,Unique Identifier,Code,Name,Last Change Date
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1311,11NPSWRD,National Park Service,3/11/2021 12:00:00 AM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1312,ADEM,Alabama Department of Environmental Management,3/11/2021 12:00:00 AM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1310,AFS,AFS,3/11/2021 10:51:13 AM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1295,ANS-PCER,ANS-PCER,3/26/2021 3:02:33 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1296,ANSP,ANSP,3/26/2021 3:02:33 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1302,ASTM,ASTM,3/10/2021 9:01:30 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1282,Applegate WC,Applegate WC,3/26/2021 2:30:24 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1283,BIORECON,BIORECON,3/26/2021 2:30:24 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1309,CA_Waterboards,CA Waterboards,3/10/2021 9:01:30 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1304,CDPHE,CDPHE,3/10/2021 9:01:30 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1284,CRWA Laboratory,CRWA Laboratory,3/26/2021 2:30:24 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1314,CWW,Columbus Water Works,4/29/2021 4:43:55 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1303,EnvCanada-AWQMSD,EnvCanada-AWQMSD,3/10/2021 9:01:30 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1285,GA DNR,GA DNR,3/26/2021 2:30:24 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1286,GA EPD,GA EPD,3/26/2021 2:30:24 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1305,GA-DNR,GA-DNR,3/10/2021 9:01:30 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1287,GeoEngineers,GeoEngineers,3/26/2021 2:30:24 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1288,IDEXX,IDEXX,3/26/2021 2:30:24 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),2570,KNA__,KISTERS North America retired,9/27/2021 3:00:07 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1306,Kansas DHE,Kansas DHE,3/10/2021 9:01:30 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),3333,MASSWATER,"MassWateR - Massachusetts surface water quality, a Mass Bays National Estuary Partnership.",12/12/2022 6:31:06 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1281,MDEQ-WQ,Montana DEQ Water Quality,3/26/2021 9:01:42 AM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1313,NJDEP,New Jersey Department of Environmental Protection,4/8/2021 10:58:49 AM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1289,PFBMP,PFBMP,6/2/2021 3:54:40 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1307,PIBO-EMP,PIBO-EMP,3/10/2021 9:01:30 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1308,PNAMP,PNAMP,3/10/2021 9:01:30 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1290,TCEQ,TCEQ,3/26/2021 2:30:24 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1291,TN DEC,TN DEC,3/26/2021 2:30:24 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1292,TRC Omni,TRC Omni,3/26/2021 2:30:25 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1294,USACE,USACE,3/26/2021 2:30:25 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1301,USDOI/USGS,"US-DOI, Geological Survey",3/10/2021 12:00:00 AM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1300,USEPA,U.S. Environmental Protection Agency,3/10/2021 8:36:27 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),1293,UTAHDWQ,UTAHDWQ,3/26/2021 2:30:25 PM
Sample Collection Method Context(SampleCollectionMethod/MethodIdentifierContext),4050,WSDOE,Washington State Department of Ecology,11/2/2023 1:09:43 PM

