Domain,Unique Identifier,Name
Taxon Rank(),410,Aberration
Taxon Rank(),140,Class
Taxon Rank(),90,Division
Taxon Rank(),240,Family
Taxon Rank(),360,Form
Taxon Rank(),280,Genus
Taxon Rank(),486,Genus group
Taxon Rank(),430,Group
Taxon Rank(),505,Hybrid
Taxon Rank(),160,Infraclass
Taxon Rank(),110,Infradivision
Taxon Rank(),30,Infrakingdom
Taxon Rank(),200,Infraorder
Taxon Rank(),70,Infraphylum
Taxon Rank(),10,Kingdom
Taxon Rank(),400,Morph
Taxon Rank(),180,Order
Taxon Rank(),120,Parvdivision
Taxon Rank(),50,Phylum
Taxon Rank(),380,Race
Taxon Rank(),300,Section
Taxon Rank(),210,SectionA
Taxon Rank(),320,Species
Taxon Rank(),485,Species group
Taxon Rank(),390,Stirp
Taxon Rank(),150,Subclass
Taxon Rank(),100,Subdivision
Taxon Rank(),250,Subfamily
Taxon Rank(),370,Subform
Taxon Rank(),290,Subgenus
Taxon Rank(),20,Subkingdom
Taxon Rank(),190,Suborder
Taxon Rank(),60,Subphylum
Taxon Rank(),310,Subsection
Taxon Rank(),220,SubsectionA
Taxon Rank(),330,Subspecies
Taxon Rank(),270,Subtribe
Taxon Rank(),350,Subvariety
Taxon Rank(),130,Superclass
Taxon Rank(),80,Superdivision
Taxon Rank(),230,Superfamily
Taxon Rank(),170,Superorder
Taxon Rank(),40,Superphylum
Taxon Rank(),260,Tribe
Taxon Rank(),420,Unspecified
Taxon Rank(),340,Variety

